UCT Agent      3084MiB     3085MiB     19.9%   3.808745s
Recycle-UCT    2679MiB     2680MiB     20.9%   3.3637s 
UCT Agent      2200MiB     2201MiB     20.1%   2.730611s
Recycle-UCT    690MiB      690MiB      20.1%   0.560256s
UCT Agent      179MiB      179MiB      20.1%   0.15464s
Recycle-UCT    0MiB        0MiB        20.1%   0.05116s
UCT Agent      12MiB       12MiB       20.1%   0.047439s
Recycle-UCT    0MiB        0MiB        20.1%   0.030693s
UCT Agent      0MiB        0MiB        20.1%   0.015651s
Recycle-UCT    3065MiB     3067MiB     20.5%   3.769768s
UCT Agent      2680MiB     2681MiB     20.5%   3.172415s
Recycle-UCT    2182MiB     2182MiB     20.4%   2.448062s
UCT Agent      659MiB      659MiB      20.6%   0.592371s
Recycle-UCT    143MiB      143MiB      20.8%   0.181569s
UCT Agent      52MiB       52MiB       20.9%   0.081794s
Recycle-UCT    1MiB        1MiB        20.9%   0.04574s
UCT Agent      3MiB        3MiB        20.9%   0.034763s
Recycle-UCT    0MiB        0MiB        20.9%   0.016412s
UCT Agent      3063MiB     3064MiB     20.7%   3.779445s
Recycle-UCT    2679MiB     2680MiB     20.6%   4.18853s
UCT Agent      2199MiB     2199MiB     21.0%   2.709887s
Recycle-UCT    518MiB      518MiB      21.0%   0.50787s
UCT Agent      183MiB      183MiB      21.1%   0.250952s
Recycle-UCT    0MiB        0MiB        21.1%   0.071217s
UCT Agent      12MiB       12MiB       21.1%   0.063537s
Recycle-UCT    0MiB        0MiB        21.1%   0.041514s
UCT Agent      0MiB        0MiB        21.1%   0.035445s
Recycle-UCT    3070MiB     3071MiB     20.4%   4.706822s
UCT Agent      2678MiB     2679MiB     20.3%   3.686221s
Recycle-UCT    2189MiB     2189MiB     20.3%   2.290016s
UCT Agent      592MiB      593MiB      20.3%   0.483641s
Recycle-UCT    108MiB      108MiB      20.3%   0.13843s
UCT Agent      49MiB       49MiB       20.3%   0.081557s
Recycle-UCT    0MiB        0MiB        20.3%   0.035094s
UCT Agent      3MiB        3MiB        20.3%   0.022626s
UCT Agent      3065MiB     3066MiB     21.2%   3.883322s
Recycle-UCT    2678MiB     2679MiB     20.8%   3.259815s
UCT Agent      2204MiB     2204MiB     20.5%   2.154685s
Recycle-UCT    535MiB      535MiB      20.5%   0.378039s
UCT Agent      185MiB      185MiB      20.5%   0.17727s
Recycle-UCT    2MiB        2MiB        20.5%   0.05273s
UCT Agent      13MiB       13MiB       20.5%   0.050467s
Recycle-UCT    0MiB        0MiB        20.5%   0.028754s
Recycle-UCT    3059MiB     3060MiB     20.8%   4.413995s
UCT Agent      2678MiB     2679MiB     20.5%   3.942766s
Recycle-UCT    2184MiB     2184MiB     20.5%   2.446479s
UCT Agent      560MiB      560MiB      20.5%   0.600443s
Recycle-UCT    99MiB       99MiB       20.5%   0.129056s
UCT Agent      52MiB       52MiB       20.5%   0.102757s
Recycle-UCT    0MiB        0MiB        20.5%   0.053799s
UCT Agent      3MiB        3MiB        20.5%   0.044417s
Recycle-UCT    0MiB        0MiB        20.5%   0.035907s
UCT Agent      3063MiB     3064MiB     20.5%   4.463223s
Recycle-UCT    2678MiB     2679MiB     20.5%   3.94636s
UCT Agent      2193MiB     2193MiB     20.5%   2.845253s
Recycle-UCT    517MiB      517MiB      20.5%   0.538669s
UCT Agent      184MiB      184MiB      20.5%   0.267059s
Recycle-UCT    0MiB        0MiB        20.5%   0.078449s
UCT Agent      12MiB       12MiB       20.5%   0.061831s
Recycle-UCT    0MiB        0MiB        20.5%   0.038083s
UCT Agent      0MiB        0MiB        20.5%   0.024844s
Recycle-UCT    3059MiB     3060MiB     20.4%   4.51519s
UCT Agent      2678MiB     2679MiB     20.4%   3.961063s
Recycle-UCT    2174MiB     2174MiB     20.5%   2.813244s
UCT Agent      559MiB      559MiB      20.5%   0.557108s
Recycle-UCT    50MiB       50MiB       20.5%   0.105178s
UCT Agent      52MiB       52MiB       20.5%   0.123711s
Recycle-UCT    0MiB        0MiB        20.5%   0.053502s
UCT Agent      3MiB        3MiB        20.5%   0.047106s
Recycle-UCT    0MiB        0MiB        20.5%   0.023256s
UCT Agent      3063MiB     3064MiB     20.9%   4.760861s
Recycle-UCT    2680MiB     2681MiB     20.7%   4.338708s
UCT Agent      2215MiB     2215MiB     20.6%   3.393268s
Recycle-UCT    680MiB      680MiB      20.6%   0.697951s
UCT Agent      180MiB      180MiB      20.6%   0.201843s
Recycle-UCT    0MiB        0MiB        20.6%   0.066172s
UCT Agent      12MiB       12MiB       20.6%   0.062013s
Recycle-UCT    0MiB        0MiB        20.6%   0.04121s
UCT Agent      0MiB        0MiB        20.6%   0.020224s
Recycle-UCT    3058MiB     3060MiB     20.6%   4.503585s
UCT Agent      2680MiB     2681MiB     21.0%   4.425686s
Recycle-UCT    2199MiB     2199MiB     20.8%   2.864291s
