1239MiB     1240MiB
572MiB      572MiB
52MiB       53MiB

924MiB      925MiB
243MiB      246MiB
36MiB       36MiB
3MiB        4MiB

1198MiB     1200MiB
490MiB      493MiB
44MiB       45MiB

911MiB      913MiB
159MiB      160MiB
28MiB       29MiB

1218MiB     1219MiB
460MiB      463MiB
45MiB       46MiB

917MiB      918MiB
168MiB      171MiB
20MiB       20MiB

1186MiB     1194MiB
476MiB      479MiB
72MiB       73MiB
10MiB       11MiB

911MiB      913MiB
232MiB      233MiB
19MiB       20MiB

1185MiB     1188MiB
499MiB      499MiB
87MiB       88MiB
10MiB       11MiB

915MiB      916MiB
221MiB      224MiB
22MiB       22MiB
