UCT Agent      3084MiB     3085MiB     13.4%   3.707504s
TT-UCT Agent   1612MiB     1613MiB     13.4%   2s      
UCT Agent      2208MiB     2209MiB     13.4%   2.273309s
TT-UCT Agent   201MiB      203MiB      13.4%   0s      
UCT Agent      269MiB      269MiB      13.4%   0.273313s
TT-UCT Agent   33MiB       34MiB       13.4%   0s      
UCT Agent      12MiB       13MiB       13.4%   0.048172s
TT-UCT Agent   1777MiB     1778MiB     13.4%   3s      
UCT Agent      2677MiB     2678MiB     13.4%   3.166324s
TT-UCT Agent   493MiB      496MiB      13.4%   0s      
UCT Agent      580MiB      580MiB      13.5%   0.454059s
TT-UCT Agent   86MiB       87MiB       13.5%   0s      
UCT Agent      37MiB       37MiB       13.5%   0.065289s
TT-UCT Agent   12MiB       13MiB       13.5%   0s      
UCT Agent      3058MiB     3060MiB     13.5%   3.639897s
TT-UCT Agent   1623MiB     1626MiB     13.5%   2s      
UCT Agent      2201MiB     2202MiB     13.5%   2.088093s
TT-UCT Agent   201MiB      202MiB      13.5%   0s      
UCT Agent      182MiB      183MiB      13.5%   0.208526s
TT-UCT Agent   37MiB       37MiB       13.5%   0s      
UCT Agent      12MiB       12MiB       13.5%   0.052668s
TT-UCT Agent   4MiB        4MiB        13.5%   0s      
UCT Agent      1MiB        1MiB        13.5%   0.024878s
TT-UCT Agent   1789MiB     1791MiB     13.5%   3s      
UCT Agent      2675MiB     2676MiB     13.5%   3.180638s
TT-UCT Agent   614MiB      617MiB      13.5%   0s      
UCT Agent      704MiB      704MiB      13.5%   0.510722s
TT-UCT Agent   90MiB       91MiB       13.5%   0s      
UCT Agent      53MiB       53MiB       13.5%   0.065553s
TT-UCT Agent   9MiB        9MiB        13.5%   0s      
UCT Agent      3065MiB     3066MiB     13.5%   3.477095s
TT-UCT Agent   1583MiB     1587MiB     13.5%   2s      
UCT Agent      2205MiB     2206MiB     13.5%   2.32632s
TT-UCT Agent   183MiB      186MiB      13.5%   0s      
UCT Agent      207MiB      208MiB      13.5%   0.225142s
TT-UCT Agent   35MiB       36MiB       13.5%   0s      
UCT Agent      13MiB       13MiB       13.5%   0.037151s
TT-UCT Agent   3MiB        3MiB        13.5%   0s      
TT-UCT Agent   1766MiB     1767MiB     13.5%   3s      
UCT Agent      2679MiB     2680MiB     13.5%   3.232416s
TT-UCT Agent   638MiB      641MiB      13.5%   0s      
UCT Agent      713MiB      713MiB      13.5%   0.533334s
TT-UCT Agent   93MiB       94MiB       13.5%   0s      
UCT Agent      52MiB       52MiB       13.5%   0.085031s
TT-UCT Agent   8MiB        8MiB        13.5%   0s      
UCT Agent      3065MiB     3067MiB     13.5%   3.475705s
TT-UCT Agent   1496MiB     1499MiB     13.5%   2s      
UCT Agent      2206MiB     2207MiB     13.5%   2.379076s
TT-UCT Agent   163MiB      165MiB      13.5%   0s      
UCT Agent      199MiB      199MiB      13.5%   0.217581s
TT-UCT Agent   32MiB       33MiB       13.5%   0s      
UCT Agent      12MiB       12MiB       13.5%   0.053795s
TT-UCT Agent   4MiB        4MiB        13.5%   0s      
UCT Agent      1MiB        1MiB        13.5%   0.024277s
TT-UCT Agent   1782MiB     1784MiB     13.5%   3s      
UCT Agent      2677MiB     2678MiB     13.7%   3.917414s
TT-UCT Agent   515MiB      517MiB      14.9%   1s      
UCT Agent      655MiB      655MiB      14.9%   0.721069s
TT-UCT Agent   101MiB      102MiB      14.9%   0s      
UCT Agent      52MiB       52MiB       15.0%   0.109781s
TT-UCT Agent   13MiB       14MiB       15.0%   0s      
UCT Agent      3MiB        3MiB        15.0%   0.037681s
TT-UCT Agent   1MiB        1MiB        15.0%   0s      
UCT Agent      3059MiB     3061MiB     14.0%   4.248613s
TT-UCT Agent   1585MiB     1586MiB     14.3%   3s      
UCT Agent      2203MiB     2204MiB     14.2%   2.259699s
TT-UCT Agent   190MiB      191MiB      14.0%   0s      
UCT Agent      186MiB      186MiB      14.0%   0.195467s
TT-UCT Agent   31MiB       32MiB       14.0%   0s      
UCT Agent      13MiB       13MiB       14.1%   0.048355s
TT-UCT Agent   3MiB        3MiB        14.1%   0s      
TT-UCT Agent   1782MiB     1783MiB     14.0%   3s      
UCT Agent      2675MiB     2676MiB     14.4%   3.399077s
TT-UCT Agent   603MiB      605MiB      14.4%   1s      
UCT Agent      732MiB      732MiB      14.4%   0.645235s
TT-UCT Agent   90MiB       90MiB       14.4%   0s      
UCT Agent      52MiB       52MiB       14.4%   0.080216s
TT-UCT Agent   13MiB       14MiB       14.4%   0s      
UCT Agent      3MiB        3MiB        14.4%   0.03267s
TT-UCT Agent   1MiB        1MiB        14.4%   0s      
UCT Agent      3061MiB     3062MiB     13.6%   3.755036s
TT-UCT Agent   1557MiB     1560MiB     13.6%   3s      
UCT Agent      2199MiB     2199MiB     13.6%   2.594629s
TT-UCT Agent   187MiB      188MiB      13.6%   0s      
UCT Agent      179MiB      179MiB      13.6%   0.242456s
TT-UCT Agent   33MiB       34MiB       13.6%   0s      
UCT Agent      13MiB       13MiB       13.6%   0.077177s
TT-UCT Agent   4MiB        4MiB        13.6%   0s      
UCT Agent      1MiB        1MiB        13.6%   0.021514s
TT-UCT Agent   1764MiB     1765MiB     14.2%   4s      
UCT Agent      2679MiB     2680MiB     14.5%   3.675611s
TT-UCT Agent   516MiB      519MiB      14.1%   0s      
UCT Agent      885MiB      885MiB      14.1%   0.825605s
TT-UCT Agent   87MiB       87MiB       14.2%   0s      
UCT Agent      45MiB       46MiB       14.2%   0.082108s
TT-UCT Agent   13MiB       14MiB       14.2%   0s      
UCT Agent      3MiB        3MiB        14.2%   0.025833s
UCT Agent      3065MiB     3067MiB     13.9%   4.183131s
TT-UCT Agent   1469MiB     1473MiB     14.0%   3s      
UCT Agent      2209MiB     2209MiB     14.1%   3.132451s
TT-UCT Agent   163MiB      163MiB      14.1%   0s      
UCT Agent      206MiB      206MiB      14.3%   0.284392s
TT-UCT Agent   35MiB       36MiB       14.3%   0s      
UCT Agent      13MiB       13MiB       14.3%   0.049145s
TT-UCT Agent   4MiB        4MiB        14.3%   0s      
TT-UCT Agent   1765MiB     1767MiB     13.6%   4s      
UCT Agent      2677MiB     2678MiB     13.6%   4.081934s
TT-UCT Agent   611MiB      614MiB      13.6%   1s      
UCT Agent      739MiB      739MiB      13.5%   0.790117s
TT-UCT Agent   91MiB       92MiB       13.5%   0s      
UCT Agent      53MiB       53MiB       13.5%   0.102444s
TT-UCT Agent   13MiB       14MiB       13.5%   0s      
UCT Agent      3MiB        3MiB        13.5%   0.043485s
TT-UCT Agent   1MiB        1MiB        13.5%   0s      
UCT Agent      3060MiB     3062MiB     13.5%   4.722915s
TT-UCT Agent   1633MiB     1635MiB     13.5%   3s      
UCT Agent      2203MiB     2203MiB     13.5%   2.796044s
TT-UCT Agent   199MiB      202MiB      13.5%   0s      
UCT Agent      270MiB      270MiB      13.5%   0.358711s
TT-UCT Agent   34MiB       35MiB       13.5%   0s      
UCT Agent      12MiB       13MiB       13.5%   0.066764s
TT-UCT Agent   4MiB        4MiB        13.5%   0s      
UCT Agent      1MiB        1MiB        13.5%   0.036063s
TT-UCT Agent   1802MiB     1804MiB     13.5%   4s      
UCT Agent      2677MiB     2678MiB     13.5%   4.0712s 
TT-UCT Agent   642MiB      645MiB      13.5%   1s      
UCT Agent      714MiB      714MiB      13.5%   0.648531s
TT-UCT Agent   89MiB       89MiB       13.5%   0s      
UCT Agent      52MiB       52MiB       13.5%   0.111109s
TT-UCT Agent   9MiB        9MiB        13.5%   0s      
UCT Agent      3067MiB     3068MiB     13.5%   4.539532s
TT-UCT Agent   1635MiB     1638MiB     13.5%   3s      
UCT Agent      2201MiB     2201MiB     13.5%   2.699253s
TT-UCT Agent   164MiB      167MiB      13.5%   0s      
UCT Agent      203MiB      203MiB      13.5%   0.272612s
TT-UCT Agent   29MiB       30MiB       13.5%   0s      
UCT Agent      11MiB       11MiB       13.5%   0.049213s
TT-UCT Agent   3MiB        3MiB        13.5%   0s      
TT-UCT Agent   1773MiB     1775MiB     13.5%   4s      
UCT Agent      2678MiB     2680MiB     13.5%   3.98267s
TT-UCT Agent   528MiB      530MiB      13.5%   0s      
UCT Agent      660MiB      660MiB      13.5%   0.707822s
TT-UCT Agent   90MiB       91MiB       13.5%   0s      
UCT Agent      52MiB       52MiB       13.5%   0.101461s
TT-UCT Agent   13MiB       14MiB       13.5%   0s      
UCT Agent      3MiB        3MiB        13.5%   0.044083s
TT-UCT Agent   1MiB        1MiB        13.5%   0s      
UCT Agent      3058MiB     3060MiB     13.5%   4.45169s
TT-UCT Agent   1567MiB     1570MiB     13.5%   3s      
UCT Agent      2200MiB     2200MiB     13.5%   3.033983s
TT-UCT Agent   159MiB      162MiB      13.5%   0s      
UCT Agent      199MiB      199MiB      13.5%   0.274242s
TT-UCT Agent   34MiB       35MiB       13.5%   0s      
UCT Agent      12MiB       12MiB       13.5%   0.076977s
TT-UCT Agent   4MiB        4MiB        13.5%   0s      
UCT Agent      1MiB        1MiB        13.5%   0.034034s
TT-UCT Agent   1767MiB     1769MiB     13.5%   4s      
UCT Agent      2677MiB     2678MiB     13.5%   3.804026s
TT-UCT Agent   507MiB      510MiB      13.5%   0s      
UCT Agent      559MiB      559MiB      13.5%   0.602505s
TT-UCT Agent   74MiB       74MiB       13.5%   0s      
UCT Agent      53MiB       53MiB       13.5%   0.122789s
TT-UCT Agent   13MiB       14MiB       13.5%   0s      
UCT Agent      3MiB        3MiB        13.5%   0.04364s
TT-UCT Agent   1MiB        1MiB        13.5%   0s      
UCT Agent      3058MiB     3060MiB     13.5%   4.447802s
TT-UCT Agent   1524MiB     1527MiB     13.5%   3s      
UCT Agent      2201MiB     2202MiB     13.5%   2.648296s
TT-UCT Agent   159MiB      162MiB      13.5%   0s      
UCT Agent      184MiB      184MiB      13.5%   0.272407s
TT-UCT Agent   37MiB       38MiB       13.5%   0s      
UCT Agent      12MiB       12MiB       13.5%   0.065351s
TT-UCT Agent   4MiB        4MiB        13.5%   0s      
UCT Agent      1MiB        1MiB        13.5%   0.035324s
TT-UCT Agent   1822MiB     1823MiB     13.5%   4s      
UCT Agent      2677MiB     2678MiB     13.5%   3.944887s
TT-UCT Agent   695MiB      697MiB      13.5%   1s      
UCT Agent      685MiB      685MiB      13.5%   0.657377s
TT-UCT Agent   90MiB       91MiB       13.5%   0s      
